2.007339999999999958e-01,3.658819999999999850e-01,5.304750000000000298e-01,8.258950000000000458e-01,4.725260000000000016e-01,7.129339999999999566e-01,3.590059999999999918e-01,5.527100000000000346e-01,3.380919999999999481e-01,1.943370000000000097e-01,1.000000000000000000e+00
2.159629999999999883e-01,3.893650000000000166e-01,5.109970000000000345e-01,7.411809999999999787e-01,4.402940000000000187e-01,8.347780000000000200e-01,3.576690000000000147e-01,5.589060000000000139e-01,3.974790000000000267e-01,2.904269999999999907e-01,2.000000000000000000e+00
4.751980000000000093e-01,5.197669999999999790e-01,1.813360000000000249e-01,3.855500000000000038e-01,2.618690000000000184e-01,8.312239999999999629e-01,2.339570000000000261e-01,6.576910000000001366e-01,2.789260000000000073e-01,4.451339999999999741e-01,3.000000000000000000e+00
5.022940000000000182e-01,7.147950000000000692e-01,2.552800000000000069e-01,6.683599999999999541e-01,1.743899999999999895e-01,6.185699999999999532e-01,2.637390000000000012e-01,4.826019999999999754e-01,5.616189999999999793e-01,1.479379999999999862e-01,4.000000000000000000e+00
4.100869999999999793e-01,7.310710000000000264e-01,4.541930000000000134e-01,6.739029999999999188e-01,1.706000000000000051e-03,5.172120000000000051e-01,6.353830000000000311e-01,3.534990000000000077e-01,6.874109999999999943e-01,3.130499999999999949e-01,5.000000000000000000e+00
3.310199999999999809e-01,7.176050000000000484e-01,4.838580000000000103e-01,5.926580000000000181e-01,2.491400000000000212e-02,5.404449999999999532e-01,5.667470000000000008e-01,3.233759999999999968e-01,6.727440000000000087e-01,3.276330000000000076e-01,6.000000000000000000e+00
3.400639999999999774e-01,7.485630000000000894e-01,5.963150000000000395e-01,6.009839999999999627e-01,1.481799999999999957e-02,5.035870000000000068e-01,5.833509999999999529e-01,5.208679999999999977e-01,6.954679999999998641e-01,3.534800000000000164e-01,7.000000000000000000e+00
2.861150000000000082e-01,6.773120000000000251e-01,7.204450000000000021e-01,7.541250000000000453e-01,9.341099999999999404e-02,4.174519999999999897e-01,3.637219999999999898e-01,6.442090000000000316e-01,7.377709999999999546e-01,3.803929999999999811e-01,8.000000000000000000e+00
2.271459999999999591e-01,6.717619999999999703e-01,4.825010000000000132e-01,5.076300000000000257e-01,3.486029999999999962e-01,6.922160000000000535e-01,3.314589999999999481e-01,6.453470000000000040e-01,5.484689999999999843e-01,3.328990000000000560e-01,9.000000000000000000e+00
2.823069999999999746e-01,6.189240000000000297e-01,3.805609999999999826e-01,7.396660000000000457e-01,5.348180000000000156e-01,6.709030000000000271e-01,3.440320000000000045e-01,5.879809999999999759e-01,6.097989999999999799e-01,2.063210000000000044e-01,1.000000000000000000e+01
3.128009999999999957e-01,6.605670000000000153e-01,3.901109999999999856e-01,5.545660000000000034e-01,2.705020000000000202e-01,6.822120000000001516e-01,2.809329999999999883e-01,6.125329999999999941e-01,5.877449999999999619e-01,1.665049999999999863e-01,1.100000000000000000e+01
